"","Title","Year","Rated","Released","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Ratings.Source","Ratings.Value","Ratings.Source.1","Ratings.Value.1","Ratings.Source.2","Ratings.Value.2","Metascore","imdbRating","imdbVotes","imdbID","Type","DVD","BoxOffice","Production","Website","Response","totalSeasons"
"104","Raw","2016","R","15 Mar 2017","99 min","Drama, Horror","Julia Ducournau","Julia Ducournau (dialogue), Julia Ducournau (screenplay)","Garance Marillier, Ella Rumpf, Rabah Nait Oufella, Laurent Lucas","Forced to eat meat during a college hazing, a young vegetarian develops an unbidden taste for meat that drives her down a dark path.","French","France, Belgium, Italy","16 wins & 37 nominations.","https://m.media-amazon.com/images/M/MV5BMTU3MDUxMDI0MV5BMl5BanBnXkFtZTgwMzk3OTg3MDI@._V1_SX300.jpg","Internet Movie Database","7.0/10","Rotten Tomatoes","91%","Metacritic","81/100","81","7.0","42,504","tt4954522","movie","05 Sep 2017","$508,425","Petit Film","N/A","True",NA
"105","Personal Shopper","2016","R","10 Mar 2017","105 min","Drama, Horror, Mystery","Olivier Assayas","Olivier Assayas","Kristen Stewart, Lars Eidinger, Sigrid Bouaziz, Anders Danielsen Lie","A personal shopper in Paris refuses to leave the city until she makes contact with her twin brother who previously died there. Her life becomes more complicated when a mysterious person contacts her via text message.","English, French, Swedish, German","France, Germany, Czech Republic, Belgium","9 wins & 19 nominations.","https://m.media-amazon.com/images/M/MV5BN2JhYTViMGUtMTU0Ni00MzU5LWE0ZmYtNDk2YTdmOTI5MTFjXkEyXkFqcGdeQXVyNTIyODMzMzA@._V1_SX300.jpg","Internet Movie Database","6.2/10","Rotten Tomatoes","79%","Metacritic","77/100","77","6.2","27,136","tt4714782","movie","N/A","$1,305,195","IFC Films","http://www.ifcfilms.com/films/personal-shopper","True",NA
"106","Canners","2017","N/A","01 Mar 2017","78 min","Documentary","Manfred Kirchheimer","N/A","N/A","In an ode to the men and women who earn their daily bread by diligently collecting New York City's cans and bottles. They talk about their struggles, their families, and their dreams,","English","USA","N/A","N/A","Metacritic","72/100",NA,NA,NA,NA,"72","N/A","N/A","tt6584906","movie","N/A","N/A","N/A","N/A","True",NA
"107","The Ottoman Lieutenant","2017","R","10 Mar 2017","106 min","Drama, War","Joseph Ruben","Jeff Stockwell","Michiel Huisman, Hera Hilmar, Josh Hartnett, Ben Kingsley","The Ottoman Lieutenant is a love story between an idealistic American nurse and a Turkish officer in World War I.","English","Turkey, USA","N/A","https://m.media-amazon.com/images/M/MV5BMTg3ZDVlMjgtNTM4Yi00ZTQ3LThmM2QtYzdjZmRjMTcxMTkzXkEyXkFqcGdeQXVyNDExMzMxNjE@._V1_SX300.jpg","Internet Movie Database","6.7/10","Rotten Tomatoes","18%","Metacritic","26/100","26","6.7","21,336","tt4943322","movie","01 Aug 2017","$173,750","Paladin","http://theottomanlieutenant.com/","True",NA
"108","Who's Crazy?","1966","N/A","10 Mar 2017","73 min","Drama","Thomas White, Allan Zion","Thomas White, Allan Zion","Wimme Andre, Melvin Clay, Tom Edmonston, Carl Einhorn","Patients from an insane asylum find refuge at a farmhouse after escaping from a bus.","English","Belgium, USA","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMmM3YmY3N2YtMDI1Ni00ZThlLWE1ODktODUxYjMxYjM1ODMzXkEyXkFqcGdeQXVyODM3MjA1NA@@._V1_SX300.jpg","Internet Movie Database","6.5/10","Rotten Tomatoes","71%","Metacritic","77/100","77","6.5","11","tt4775814","movie","N/A","$3,045","Kino Lorber","https://www.kinolorber.com/film/whoscrazy","True",NA
"109","The Sense of an Ending","2017","PG-13","10 Mar 2017","108 min","Drama, Mystery","Ritesh Batra","Julian Barnes (novel), Nick Payne (adaptation), Nick Payne (screenplay)","Jim Broadbent, Charlotte Rampling, Harriet Walter, Michelle Dockery","A man becomes haunted by his past and is presented with a mysterious legacy that causes him to re-think his current situation in life.","English","UK","1 win.","https://m.media-amazon.com/images/M/MV5BYzI5ZDM2NjYtNmVhMS00Y2Q4LTg5ZWUtZjUwOGNkZDJhNGY2L2ltYWdlXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_SX300.jpg","Internet Movie Database","6.3/10","Rotten Tomatoes","76%","Metacritic","61/100","61","6.3","4,414","tt4827986","movie","06 Jun 2017","&pound;1,235,432","CBS Films","N/A","True",NA
"110","Kong: Skull Island","2017","PG-13","10 Mar 2017","118 min","Action, Adventure, Fantasy","Jordan Vogt-Roberts","Dan Gilroy (screenplay by), Max Borenstein (screenplay by), Derek Connolly (screenplay by), John Gatins (story by)","Tom Hiddleston, Samuel L. Jackson, Brie Larson, John C. Reilly","A team of scientists explore an uncharted island in the Pacific, venturing into the domain of the mighty Kong, and must fight to escape a primal Eden.","English, Vietnamese","USA, China","Nominated for 1 Oscar. Another 1 win & 15 nominations.","https://m.media-amazon.com/images/M/MV5BMTUwMzI5ODEwNF5BMl5BanBnXkFtZTgwNjAzNjI2MDI@._V1_SX300.jpg","Internet Movie Database","6.7/10","Rotten Tomatoes","75%","Metacritic","62/100","62","6.7","216,722","tt3731562","movie","18 Jul 2017","$167,986,460","Warner Bros. Pictures/Legendary Pictures","http://kongskullislandmovie.com/","True",NA
"111","My Scientology Movie","2015","NOT RATED","10 Mar 2017","99 min","Documentary","John Dower","John Dower, Louis Theroux","Louis Theroux, Tom Cruise, Marty Rathbun, Paz de la Huerta","Louis Theroux documents his investigation into what goes on behind the scenes of the infamous Church of Scientology.","English","UK","3 nominations.","https://m.media-amazon.com/images/M/MV5BMTQ5NTI2NDc3NF5BMl5BanBnXkFtZTgwNDA3ODk2MTI@._V1_SX300.jpg","Internet Movie Database","6.7/10","Rotten Tomatoes","88%","Metacritic","62/100","62","6.7","10,300","tt5111874","movie","N/A","$22,450","Magnolia Pictures","http://www.magnoliapictures.com/my-scientology-movie","True",NA
"112","Beauty and the Beast","1991","G","22 Nov 1991","84 min","Animation, Family, Fantasy","Gary Trousdale, Kirk Wise","Linda Woolverton (animation screenplay by), Brenda Chapman (story by), Chris Sanders (story by), Burny Mattinson (story by), Kevin Harkey (story by), Brian Pimental (story by), Bruce Woodside (story by), Joe Ranft (story by), Tom Ellery (story by), Kelly Asbury (story by), Robert Lence (story by)","Robby Benson, Jesse Corti, Rex Everhart, Angela Lansbury","A selfish prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner.","English, French","USA","Won 2 Oscars. Another 24 wins & 25 nominations.","https://m.media-amazon.com/images/M/MV5BMzE5MDM1NDktY2I0OC00YWI5LTk2NzUtYjczNDczOWQxYjM0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","Internet Movie Database","8.0/10","Rotten Tomatoes","94%","Metacritic","95/100","95","8.0","374,645","tt0101414","movie","08 Oct 2002","$47,611,331","Buena Vista","http://www.disney.com/beautyandthebeast","True",NA
"113","Apprentice","2016","N/A","03 Mar 2017","115 min","Drama","Junfeng Boo","Junfeng Boo (story), Junfeng Boo, Raymond Phathanavirangoon (story)","Firdaus Rahman, Wan Hanafi Su, Mastura Ahmad, Boon Pin Koh","Inevitably, a transfer to a maximum security prison will eventually challenge the integrity and ethics of a young correctional officer on his way to become a chief executioner.","Malay, English","Singapore, Germany, France, Hong Kong, Qatar","6 wins & 5 nominations.","https://m.media-amazon.com/images/M/MV5BZjZjMWVhY2MtYTcxNy00OTFiLWJmYmEtODYyMTA0ODBiN2ZhXkEyXkFqcGdeQXVyNDcyMjQ4MzU@._V1_SX300.jpg","Internet Movie Database","6.5/10","Rotten Tomatoes","86%","Metacritic","77/100","77","6.5","1,191","tt4660736","movie","N/A","$2,578","Film Movement","http://www.filmmovement.com/filmcatalog/index.asp?MerchandiseID=523","True",NA
"114","The Last Word","2017","R","03 Mar 2017","108 min","Comedy, Drama","Mark Pellington","Stuart Ross Fink","Shirley MacLaine, Amanda Seyfried, AnnJewel Lee Dixon, Thomas Sadoski","Harriet is a retired businesswoman who tries to control everything around her. When she decides to write her own obituary, a young journalist takes up the task of finding out the truth resulting in a life-altering friendship.","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BMTQ4Mzc1MzY5OV5BMl5BanBnXkFtZTgwNzU0NzE4MDI@._V1_SX300.jpg","Internet Movie Database","6.6/10","Rotten Tomatoes","37%","Metacritic","40/100","40","6.6","5,603","tt5023260","movie","06 Jun 2017","$1,782,667","Bleecker Street Media","http://www.LastWordMovie.com","True",NA
"115","Ben-Gurion, Epilogue","2016","N/A","03 Mar 2017","61 min","Documentary, History","Yariv Mozer","Yariv Mozer","David Ben-Gurion","Based on archive material, the film reveals the final years of Israel's founder, David Ben-Gurion. Excluded from leadership, he allowed himself a hindsight perspective on the Zionist enterprise.","English, Hebrew","Israel, France, Germany","2 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMmNmNDc5MTgtOGQxZS00NDc2LTgxNGYtNGJkNDk5ZmRkMmVmXkEyXkFqcGdeQXVyNzk0MDgxOQ@@._V1_SX300.jpg","Internet Movie Database","7.6/10","Rotten Tomatoes","100%","Metacritic","74/100","74","7.6","32","tt5934542","movie","N/A","N/A","Mozer Films","N/A","True",NA
"116","Nakom","2016","N/A","03 Mar 2017","90 min","Drama","Kelly Daniela Norris, T.W. Pittman","Isaac Adakudugu, Isaac Adakudugu (dialogue), T.W. Pittman","Jacob Ayanaba, Grace Ayariga, Justina Kulidu, Shetu Musah","Upon his father's sudden death, a talented medical student must return to his home village in Ghana to fight for his family's survival.","English","Ghana, USA","1 win & 6 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTkwOTc4NDU5NF5BMl5BanBnXkFtZTgwNjE5MTMyNjE@._V1_SX300.jpg","Internet Movie Database","7.0/10","Rotten Tomatoes","86%","Metacritic","70/100","70","7.0","104","tt4210112","movie","N/A","N/A","Corinth Films","http://www.nakomfilm.com/","True",NA
"117","Table 19","2017","PG-13","03 Mar 2017","87 min","Comedy, Drama, Romance","Jeffrey Blitz","Mark Duplass (story by), Jay Duplass (story by), Jeffrey Blitz (story by), Jeffrey Blitz (screenplay by)","Anna Kendrick, Rya Meyers, Charles Green, Lisa Kudrow","Eloise, having been relieved of maid of honor duties after being unceremoniously dumped by the best man via text, decides to attend the wedding anyway, only to find herself seated with five fellow unwanted guests at the dreaded Table 19.","English","USA","1 nomination.","https://m.media-amazon.com/images/M/MV5BNzQzNzI3NzkzMl5BMl5BanBnXkFtZTgwMjA4MzczOTE@._V1_SX300.jpg","Internet Movie Database","5.8/10","Rotten Tomatoes","26%","Metacritic","40/100","40","5.8","20,487","tt1412528","movie","13 Jun 2017","$3,606,977","Fox Searchlight Pictures","http://www.table19movie.com","True",NA
"118","The Shack","2017","PG-13","03 Mar 2017","132 min","Drama, Fantasy","Stuart Hazeldine","John Fusco (screenplay by), Andrew Lanham (screenplay by), Destin Daniel Cretton (screenplay by), William P. Young (based on the book by), Wayne Jacobsen (in collaboration with), Brad Cummings (in collaboration with)","Sam Worthington, Octavia Spencer, Tim McGraw, Radha Mitchell","A grieving man receives a mysterious, personal invitation to meet with God at a place called ""The Shack.""","English","USA","1 nomination.","https://m.media-amazon.com/images/M/MV5BMjI3MDMxNzcxNl5BMl5BanBnXkFtZTgwODc4MzkwOTE@._V1_SX300.jpg","Internet Movie Database","6.3/10","Rotten Tomatoes","19%","Metacritic","32/100","32","6.3","23,341","tt2872518","movie","30 May 2017","$57,330,873","Lionsgate","http://www.theshack.movie/","True",NA
"119","Logan","2017","R","03 Mar 2017","137 min","Action, Drama, Sci-Fi, Thriller","James Mangold","James Mangold (story by), Scott Frank (screenplay by), James Mangold (screenplay by), Michael Green (screenplay by)","Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook","In the near future, a weary Logan cares for an ailing Professor X, somewhere on the Mexican border. However, Logan's attempts to hide from the world, and his legacy, are upended when a young mutant arrives, pursued by dark forces.","English, Spanish","USA","Nominated for 1 Oscar. Another 13 wins & 55 nominations.","https://m.media-amazon.com/images/M/MV5BYzc5MTU4N2EtYTkyMi00NjdhLTg3NWEtMTY4OTEyMzJhZTAzXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg","Internet Movie Database","8.1/10","Rotten Tomatoes","93%","Metacritic","77/100","77","8.1","513,917","tt3315342","movie","23 May 2017","$226,276,809","20th Century Fox","http://www.foxmovies.com/movies/logan","True",NA
"120","Before I Fall","2017","PG-13","03 Mar 2017","98 min","Drama, Fantasy, Mystery","Ry Russo-Young","Maria Maggenti (screenplay by), Lauren Oliver (based on the novel by)","Zoey Deutch, Halston Sage, Logan Miller, Kian Lawley","February 12 is just another day in Sam's charmed life, until it turns out to be her last. Stuck reliving her last day over and over, Sam untangles the mystery around her death and discovers everything she's losing.","English","USA","2 wins & 2 nominations.","https://m.media-amazon.com/images/M/MV5BNDYwOTY0MDI2OV5BMl5BanBnXkFtZTgwOTE5NzM2MDI@._V1_SX300.jpg","Internet Movie Database","6.4/10","Rotten Tomatoes","64%","Metacritic","58/100","58","6.4","34,910","tt1691916","movie","30 May 2017","$12,230,741","Open Road Films","http://beforeifallfilm.com/","True",NA
"121","Wolves","2014","R","28 Aug 2014","91 min","Action, Fantasy, Horror, Thriller","David Hayter","David Hayter","Lucas Till, Stephen McHattie, John Pyper-Ferguson, Merritt Patterson","A boy is trying to find out about his family history and stumbles upon a town of lycans.","English","France, Canada","N/A","https://m.media-amazon.com/images/M/MV5BMjIzMDE2MTE5MF5BMl5BanBnXkFtZTgwODQ4MDE5MjE@._V1_SX300.jpg","Internet Movie Database","5.3/10","Rotten Tomatoes","25%","Metacritic","37/100","37","5.3","6,977","tt1403241","movie","19 Jan 2015","N/A","Ketchup Entertainment","https://www.facebook.com/WolvesMovie","True",NA
"122","Kiki","2016","UNRATED","24 Feb 2017","94 min","Documentary","Sara Jordenö","Sara Jordenö, Twiggy Pucci Garcon","Loretta Coombs, Takima Coombs, Afrika Juicy Couture, Bootz Juicy Couture","A group of LGBTQ youths of color unite to form a safe gathering space.","English","Sweden, USA","5 wins & 4 nominations.","https://ia.media-imdb.com/images/M/MV5BMTZiOGFkM2QtZTkyZi00MjEyLWFjYmYtMzM0YjdmMjVkMmNkXkEyXkFqcGdeQXVyNTIyODMzMzA@._V1_SX300.jpg","Internet Movie Database","5.3/10","Rotten Tomatoes","83%","Metacritic","73/100","73","5.3","383","tt5278598","movie","22 Aug 2017","N/A","Sundance Selects","N/A","True",NA
"123","Wilde Salomé","2011","R","01 Apr 2017","95 min","Documentary, Drama","Al Pacino","Al Pacino, Oscar Wilde (play)","Al Pacino, Jessica Chastain, Kevin Anderson, Estelle Parsons","A tale of lust, greed and one woman's scorn.","English","USA","1 win & 1 nomination.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTM0NzY1MDA0Nl5BMl5BanBnXkFtZTcwOTg5MjY2Ng@@._V1_SX300.jpg","Internet Movie Database","6.8/10","Rotten Tomatoes","80%",NA,NA,"N/A","6.8","621","tt0795459","movie","N/A","N/A","Big Air Studios","N/A","True",NA
"124","Gilbert","2017","TV-MA","01 Apr 2017","94 min","Documentary, Biography, Comedy","Neil Berkeley","Neil Berkeley, James Leche","Gilbert Gottfried, Dave Attell, Joy Behar, Richard Belzer","GILBERT is a wildly funny and unexpectedly poignant portrait of the life and career of one of comedy's most iconic figures, Gilbert Gottfried.","English","USA","1 win.","https://m.media-amazon.com/images/M/MV5BOGU5NjFlMmUtMjBkNy00YWUyLWJkZjktMDI1YjVlNWE2OGMyXkEyXkFqcGdeQXVyMjM0MzI4NjQ@._V1_SX300.jpg","Internet Movie Database","7.6/10","Rotten Tomatoes","95%","Metacritic","73/100","73","7.6","398","tt6495526","movie","N/A","N/A","Future You Pictures","http://www.gilbertmovie.com","True",NA
"125","How to Be a Latin Lover","2017","PG-13","28 Apr 2017","115 min","Comedy, Drama","Ken Marino","Jon Zack, Chris Spain","Eugenio Derbez, Salma Hayek, Raphael Alejandro, Rob Lowe","Finding himself dumped after 25 years of marriage, a man who made a career of seducing rich older women must move in with his estranged sister, where he begins to learn the value of family.","English, Spanish","USA","2 wins & 2 nominations.","https://m.media-amazon.com/images/M/MV5BYTAwZDk5NzItM2U0MS00NDUxLTgwMDAtNzVmZDMxMzMxMWYxXkEyXkFqcGdeQXVyNTAwODk1NzY@._V1_SX300.jpg","Internet Movie Database","5.9/10","Rotten Tomatoes","38%","Metacritic","54/100","54","5.9","10,500","tt4795124","movie","15 Aug 2017","$32,088,029","Pantelion Films","http://www.howtobealatinlover.movie/","True",NA
"126","A Dark Song","2016","UNRATED","28 Apr 2017","100 min","Drama, Fantasy, Horror","Liam Gavin","Liam Gavin","Steve Oram, Catherine Walker, Susan Loughnane, Mark Huberman","A determined young woman and a damaged occultist risk their lives and souls to perform a dangerous ritual that will grant them what they want.","English, French, German","Ireland, UK","6 wins & 3 nominations.","https://m.media-amazon.com/images/M/MV5BMTEzNDk1MzM4MDleQTJeQWpwZ15BbWU4MDM2NTI4ODEy._V1_SX300.jpg","Internet Movie Database","6.1/10","Rotten Tomatoes","91%","Metacritic","71/100","71","6.1","9,569","tt4805316","movie","05 Sep 2017","N/A","Samson Films","N/A","True",NA
"127","Harold and Lillian: A Hollywood Love Story","2015","N/A","17 Nov 2015","94 min","Documentary, Biography","Daniel Raim","Daniel Raim","Lillian Michelson, Harold Michelson, Gene Allen, James D. Bissell","Harold and Lillian eloped to Hollywood in 1947, where they became the film industry's secret weapons. Nobody talked about them, but everybody wanted them. Theirs is the greatest story never told-until now.","English","USA","1 nomination.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjMyNTE5MTMzNl5BMl5BanBnXkFtZTgwNDgzMjE4NTE@._V1_SX300.jpg","Internet Movie Database","8.2/10","Rotten Tomatoes","100%","Metacritic","75/100","75","8.2","217","tt4683668","movie","03 Oct 2017","N/A","Adama Films","http://haroldandlillian.com/","True",NA
"128","Nise: The Heart of Madness","2015","NOT RATED","28 Apr 2017","106 min","Biography, Drama, History","Roberto Berliner","Flávia Castro (screenplay), Mauricio Lissovski (screenplay), Maria Camargo (screenplay), Chris Alcazar (screenplay), Patrícia Andrade (final screenplay), Leonardo Rocha (final screenplay), Roberto Berliner (final screenplay)","Julio Adrião, Flavio Bauraqui, Fabrício Boliveira, Fernando Eiras","Based on the true story of Dr. Nise da Silveira, a psychiatrist in Brazil who treated her patients with art instead of electroshock therapy.","Portuguese","Brazil","4 wins & 6 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTcwNDY1NjU1OF5BMl5BanBnXkFtZTgwNTI0NTI4NzE@._V1_SX300.jpg","Internet Movie Database","7.7/10",NA,NA,NA,NA,"N/A","7.7","1,233","tt2168180","movie","N/A","N/A","N/A","N/A","True",NA
"129","Casting JonBenet","2017","TV-14","28 Apr 2017","80 min","Documentary","Kitty Green","Kitty Green","Hannah Cagwin, Aeona Cruz, Liv Bagley, Shylee Sagle","The unsolved death of six-year-old American beauty queen JonBenet Ramsey remains the world's most sensational child murder case. Over 15 months, responses, reflections and performances were...","English","USA, Australia, China","2 wins & 7 nominations.","https://m.media-amazon.com/images/M/MV5BNDgwODk5ODk4OV5BMl5BanBnXkFtZTgwNzA3MzU4MTI@._V1_SX300.jpg","Internet Movie Database","6.1/10","Rotten Tomatoes","82%","Metacritic","74/100","74","6.1","3,391","tt6333052","movie","28 Apr 2017","N/A","Netflix","N/A","True",NA
"130","The Circle","2017","PG-13","28 Apr 2017","110 min","Drama, Sci-Fi, Thriller","James Ponsoldt","James Ponsoldt (screenplay by), Dave Eggers (screenplay by), Dave Eggers (based on the novel by)","Emma Watson, Ellar Coltrane, Glenne Headly, Bill Paxton","A woman lands a dream job at a powerful tech company called the Circle, only to uncover an agenda that will affect the lives of all of humanity.","English","United Arab Emirates, USA","1 win & 1 nomination.","https://m.media-amazon.com/images/M/MV5BMjY2OTM2Njc3Ml5BMl5BanBnXkFtZTgwNDgzODU3MTI@._V1_SX300.jpg","Internet Movie Database","5.3/10","Rotten Tomatoes","16%","Metacritic","43/100","43","5.3","66,301","tt4287320","movie","01 Aug 2017","$20,476,300","EuropaCorp / STXfilms","http://wearethecircle.com","True",NA
"131","Buster's Mal Heart","2016","UNRATED","23 May 2017","96 min","Drama, Mystery, Thriller","Sarah Adina Smith","Sarah Adina Smith","Rami Malek, DJ Qualls, Kate Lyn Sheil, Sukha Belle Potter","A family man's chance encounter with a conspiracy-obsessed drifter leaves him on the run from the police and an impending event known as the Inversion.","English","USA","3 nominations.","https://m.media-amazon.com/images/M/MV5BYmEyNjhmYzYtNmI3OC00MWY4LTkxYzItZDljYmQxMjg0MWFmXkEyXkFqcGdeQXVyMTk0NTY2ODQ@._V1_SX300.jpg","Internet Movie Database","6.0/10","Rotten Tomatoes","71%","Metacritic","63/100","63","6.0","4,630","tt5173032","movie","18 Jul 2017","$72,622","Well Go USA Entertainment","http://www.bustersmalheart.com/","True",NA
"132","LA 92","2017","R","21 Apr 2017","114 min","Documentary, History","Daniel Lindsay, T.J. Martin","N/A","Henry Alfaro, Danny Bakewell, John D. Barnett, Michael Bostic","Twenty-five years after the verdict in the Rodney King trial sparked several days of protests, violence and looting in Los Angeles, filmmakers examine that tumultuous period through rarely seen archival footage.","English","USA","Won 1 Primetime Emmy. Another 1 win & 9 nominations.","https://m.media-amazon.com/images/M/MV5BMzZmNDAzMmEtNTdjMi00YTlmLTk2YmYtN2MxNmE5NDY3YzVmXkEyXkFqcGdeQXVyMjU3NTI0Mg@@._V1_SX300.jpg","Internet Movie Database","8.2/10","Rotten Tomatoes","92%","Metacritic","66/100","66","8.2","1,713","tt6794424","movie","N/A","N/A","Lightbox","N/A","True",NA
"133","Rupture","2016","NOT RATED","28 Apr 2017","102 min","Horror, Sci-Fi, Thriller","Steven Shainberg","Brian Nelson (screenplay by), Brian Nelson (story by), Steven Shainberg (story by)","Noomi Rapace, Michael Chiklis, Kerry Bishé, Peter Stormare","A single mom tries to break free from a mysterious organization that has abducted her.","English","Canada, USA","1 win.","https://m.media-amazon.com/images/M/MV5BNDU1N2JkZTYtMDZhYi00ODk4LWJjNTMtNWQyYzliYzdlNTE5XkEyXkFqcGdeQXVyMzQwMTY2Nzk@._V1_SX300.jpg","Internet Movie Database","4.8/10","Rotten Tomatoes","19%","Metacritic","35/100","35","4.8","4,515","tt4578118","movie","28 Apr 2017","N/A","AMBI Media Group","N/A","True",NA
"134","Natasha","2001","N/A","26 Apr 2001","92 min","Drama, Comedy, Crime, Romance","Ljubisa Samardzic","Srdjan Koljevic, Djordje Milosavljevic","Tijana Kondic, Nikola Djuricko, Anica Dobra, Davor Janjic","Seventeen year old Natasha, a daughter of a murdered police inspector, tries to discover her father's killers.","Serbian","Federal Republic of Yugoslavia","2 wins & 1 nomination.","https://m.media-amazon.com/images/M/MV5BNmUwNDQxZDMtMzgxMy00NjFjLWEwOTQtZWJhZTU5MzRmNDBkXkEyXkFqcGdeQXVyMzIwMTIwODc@._V1_SX300.jpg","Internet Movie Database","6.6/10",NA,NA,NA,NA,"N/A","6.6","1,251","tt0283504","movie","N/A","N/A","N/A","N/A","True",NA
"135","Free Fire","2016","R","21 Apr 2017","91 min","Action, Comedy, Crime","Ben Wheatley","Amy Jump (screenplay by), Ben Wheatley (screenplay by)","Enzo Cilenti, Sam Riley, Michael Smiley, Brie Larson","Set in Boston in 1978, a meeting in a deserted warehouse between two gangs turns into a shootout and a game of survival.","English","UK","1 win & 6 nominations.","https://m.media-amazon.com/images/M/MV5BOWZjMDVhMDgtMTljZC00NmM0LWE1ODYtNGZmMGRhZTc3MTg2XkEyXkFqcGdeQXVyNTAzMTY4MDA@._V1_SX300.jpg","Internet Movie Database","6.4/10","Rotten Tomatoes","68%","Metacritic","63/100","63","6.4","32,291","tt4158096","movie","18 Jul 2017","$1,798,483","A24 Films","http://freefire-movie.com/","True",NA
"136","Unforgettable","2011–2016","TV-14","20 Sep 2011","60 min","Crime, Drama, Mystery","N/A","John Bellucci, Ed Redlich","Poppy Montgomery, Dylan Walsh, James Hiroyuki Liao, Jane Curtin","Carrie Wells, a former police detective, has a rare ability to remember virtually everything she experiences including detailed visual recall. She returns to police work and uses her ability to solve crimes.","N/A","USA","1 nomination.","https://m.media-amazon.com/images/M/MV5BMTYwMzU5NDM5Ml5BMl5BanBnXkFtZTcwMjkyOTYzNg@@._V1_SX300.jpg","Internet Movie Database","6.8/10",NA,NA,NA,NA,"N/A","6.8","14,298","tt1842530","series",NA,NA,NA,NA,"True","4"
"137","The Promise","2016","PG-13","21 Apr 2017","133 min","Drama, History","Terry George","Terry George, Robin Swicord","Oscar Isaac, Charlotte Le Bon, Christian Bale, Daniel Giménez Cacho","Set during the last days of the Ottoman Empire, The Promise follows a love triangle between Michael, a brilliant medical student, the beautiful and sophisticated Ana, and Chris - a renowned American journalist based in Paris.","English, Armenian, German, French, Turkish","Spain, USA","2 wins & 3 nominations.","https://m.media-amazon.com/images/M/MV5BYTI5NmI0N2UtOWQyOC00MDg2LWI5YWUtNWEwZTgyM2VlYThmXkEyXkFqcGdeQXVyMTk1MDM0OTc@._V1_SX300.jpg","Internet Movie Database","6.1/10","Rotten Tomatoes","49%","Metacritic","49/100","49","6.1","162,602","tt4776998","movie","18 Jul 2017","$8,186,236","Open Road Films","http://thepromise.movie/","True",NA
"138","Tomorrow","2015","G","14 Apr 2017","118 min","Documentary","Cyril Dion, Mélanie Laurent","Cyril Dion","Anthony Barnosky, Olivier De Schutter, Cyril Dion, Emmanuel Druon","Climate is changing. Instead of showing all the worst that can happen, this documentary focuses on the people suggesting solutions and their actions.","English, French, Finnish","France","1 win & 1 nomination.","https://m.media-amazon.com/images/M/MV5BMjhmYjY3MjYtMWY1Ny00MjUzLTgyODktMzQwNmJlZDQ5YzA4XkEyXkFqcGdeQXVyMzMwODMxMTQ@._V1_SX300.jpg","Internet Movie Database","8.1/10","Metacritic","71/100",NA,NA,"71","8.1","2,550","tt4449576","movie","N/A","N/A","N/A","N/A","True",NA
"139","Jeremiah Tower: The Last Magnificent","2016","R","21 Apr 2017","103 min","Documentary, Biography","Lydia Tenaglia","N/A","Mario Batali, Anthony Bourdain, Francesca De Luca, Rocston Issock","Both a biopic of a complicated man and an exploration of the gathering forces that converged to shape a new American cuisine and create the cult of ""celebrity chef""... A consummate hedonist...","English","Mexico, USA","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BYWYxYzU2NGMtNWQ1Ni00NmIwLTkwZTgtZjI4ZTkyMmU3OTY0XkEyXkFqcGdeQXVyNjU2NTMxOTg@._V1_SX300.jpg","Internet Movie Database","6.4/10","Metacritic","68/100",NA,NA,"68","6.4","224","tt5163286","movie","N/A","N/A","N/A","N/A","True",NA
"140","Citizen Jane: Battle for the City","2016","NOT RATED","21 Apr 2017","92 min","Documentary, Biography, History","Matt Tyrnauer","N/A","Thomas Campanella, Vincent D'Onofrio, Mindy Fullilove, Alexander Garvin","Writer and urban activist Jane Jacobs fights to save historic New York City during the ruthless redevelopment era of urban planner Robert Moses in the 1960s.","English","USA","3 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BNjU1MTE3OTYyMF5BMl5BanBnXkFtZTgwMzIwNTQwMjI@._V1_SX300.jpg","Internet Movie Database","7.1/10","Metacritic","70/100",NA,NA,"70","7.1","281","tt3699354","movie","N/A","N/A","N/A","N/A","True",NA
